Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,BillboardHit,artist_score
0.35100000000000003,0.903,11.0,-8.42,1.0,0.0493,1.3699999999999998e-05,0.595,0.977,0.465,154.035,0,0
0.54,0.376,4.0,-8.203,1.0,0.0286,0.727,0.899,0.146,0.13,97.019,0,0
0.624,0.384,7.0,-13.348,0.0,0.0312,0.479,0.103,0.141,0.4320000000000001,109.012,0,0
0.7340000000000001,0.6940000000000001,9.0,-6.874,1.0,0.226,0.0766,0.0,0.3,0.6920000000000001,172.166,0,0
0.215,0.0139,0.0,-34.396,0.0,0.0429,0.973,0.985,0.107,0.0619,76.919,0,0
0.5670000000000001,0.96,7.0,-8.137,1.0,0.0439,0.000406,0.8690000000000001,0.12,0.239,136.004,0,0
0.77,0.7020000000000001,2.0,-8.508,1.0,0.0767,0.00993,0.0,0.101,0.7040000000000001,94.985,0,0
0.358,0.759,9.0,-7.155,1.0,0.0319,0.0299,0.777,0.0966,0.443,144.61,0,0
0.433,0.915,7.0,-4.07,0.0,0.0592,0.027000000000000003,0.00216,0.294,0.7390000000000001,125.093,0,0
0.753,0.401,10.0,-13.561,0.0,0.0667,0.0577,0.8690000000000001,0.112,0.181,120.023,0,0
0.6409999999999999,0.5710000000000001,7.0,-6.17,1.0,0.0273,0.193,0.0,0.122,0.748,135.83100000000002,0,0
0.8029999999999999,0.5,0.0,-12.21,0.0,0.0615,0.0438,0.0,0.153,0.759,99.964,0,0
0.7809999999999999,0.6559999999999999,8.0,-11.473,1.0,0.0382,0.298,0.0,0.111,0.833,104.943,0,0
0.3,0.366,9.0,-9.304,1.0,0.03,0.662,6.25e-05,0.107,0.0474,169.958,0,0
0.43,0.948,9.0,-6.254,0.0,0.125,0.0506,0.0,0.8440000000000001,0.0726,107.525,0,0
0.259,0.232,5.0,-14.390999999999998,1.0,0.039,0.7809999999999999,0.877,0.324,0.0399,73.682,0,0
0.742,0.263,7.0,-12.791,1.0,0.0491,0.5579999999999999,1.63e-05,0.0641,0.349,92.982,0,0
0.565,0.858,4.0,-2.477,1.0,0.0707,0.00235,0.151,0.0988,0.779,139.987,0,0
0.8320000000000001,0.301,4.0,-10.239,0.0,0.03,0.418,2.67e-05,0.07200000000000001,0.767,100.015,0,0
0.687,0.628,7.0,-6.362,1.0,0.0243,0.19,0.0,0.191,0.5770000000000001,88.02600000000002,0,0
0.4320000000000001,0.784,0.0,-6.0120000000000005,1.0,0.0588,0.315,1.8e-05,0.112,0.7020000000000001,89.82,0,0
0.57,0.55,5.0,-10.855,1.0,0.0422,0.872,0.203,0.183,0.807,106.1,0,0
0.502,0.8320000000000001,10.0,-5.473,0.0,0.0291,0.102,0.00049,0.181,0.65,154.05700000000004,0,0
0.5770000000000001,0.7829999999999999,7.0,-4.291,1.0,0.271,0.0249,0.000708,0.275,0.429,84.13799999999998,0,0
0.67,0.838,7.0,-7.313,0.0,0.0515,0.0211,1.85e-05,0.0639,0.809,135.97899999999998,0,0
0.496,0.785,0.0,-5.718,0.0,0.037000000000000005,0.002,0.000944,0.966,0.307,141.03,0,0
0.603,0.7929999999999999,0.0,-7.027,1.0,0.0598,0.00176,0.55,0.0716,0.962,74.988,0,0
0.732,0.366,4.0,-15.602,0.0,0.319,0.0547,2.05e-06,0.0716,0.693,72.583,0,0
0.224,0.255,2.0,-14.632,1.0,0.0324,0.8440000000000001,0.481,0.0929,0.11,93.913,0,0
0.745,0.315,0.0,-11.425,0.0,0.127,0.8590000000000001,0.0122,0.0811,0.936,167.86,0,0
0.696,0.32,8.0,-9.124,1.0,0.0471,0.7609999999999999,0.0,0.104,0.693,130.43200000000002,0,0
0.818,0.715,4.0,-10.674,0.0,0.106,0.00836,0.0139,0.0521,0.418,112.734,0,0
0.557,0.887,2.0,-9.806,0.0,0.0352,0.0366,0.0,0.241,0.618,132.092,0,1
0.616,0.528,0.0,-7.776,1.0,0.0406,0.642,0.897,0.108,0.551,120.304,0,0
0.561,0.471,0.0,-9.89,1.0,0.0282,0.59,2.13e-06,0.116,0.894,114.878,0,0
0.6509999999999999,0.7829999999999999,11.0,-5.308,0.0,0.0274,0.00113,0.784,0.0402,0.9,120.174,0,0
0.728,0.953,0.0,-6.164,1.0,0.037000000000000005,0.28800000000000003,0.326,0.38,0.966,130.076,0,0
0.354,0.655,0.0,-8.931000000000003,1.0,0.0376,0.863,0.594,0.336,0.745,201.692,0,0
0.28300000000000003,0.993,4.0,-4.7810000000000015,1.0,0.0691,0.00344,0.0,0.0798,0.45,150.55,0,0
0.4,0.898,5.0,-5.649,1.0,0.0467,5.2e-05,0.644,0.101,0.109,146.048,0,0
